;Formula;Format;Comments;Code;Summary;"DCA Formula";"Use Workflow";"Storage Format";"Referenced By";"Cell Count";"Size (GB)";"Clean Cells";Id;AutoCalculation;"Last Update";"Obfuscation Formula";"Stable View Formula";"User View Formula";"Error Comment"
isfolder;;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;9.9712982773781E-5;;129000000627;true;;;;;
deletionmark;;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Заполнено ИНН и Направление', '1'";53533;9.9712982773781E-5;;129000000628;true;;;;;
"x DEL Направление";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;0;;129000000629;true;;;;;
"L2 ЮЛ";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000062,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M05.02.08 REPORT Детализация PL с версиями'.'Домен Контрагента', 'M05.02.08 REPORT Детализация PL с версиями'.'БЕ КА', 'Расходы по ЦФО OPEX CF ручной ввод'.'Контрагент L2 ЮЛ', 'M01.04.06 MAP ВГО обороты'.'Группа ЮЛ?', 'M01.04.06 MAP ВГО обороты'.'Группа БЕ?', 'ML01.03.24 L Контрагенты 1СУХ'.ЮЛ";53533;0.00039885193109512;;129000000637;true;;;;;
"Контрагент ВГО?";"'parent' = 'L Контрагенты 1СУХ'.'515335c4-9ecb-11ea-a2fb-005056a72071'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;9.9712982773781E-5;;129000000645;true;;;"'129000000646' = '101000000086'.'723000000004'";"'parent' = 'L Контрагенты 1СУХ'.'515335c4-9ecb-11ea-a2fb-005056a72071'";
org_key;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;0;;129000000644;true;;;;;
"Требуется указание БЕ и Домена?";"TEXTSUM('ML01.03.24 L Контрагенты 1СУХ'.'Направление') = ""ВГО""";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";"'Направление' = ""ВГО""";;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Фильтр Требуется указание БЕ и Домена?', 'Импорт Расходы по ЦФО OPEX ручной ввод'.'Фильтр ввода данных домена и БЕ', 'Ввод Capex (проекты)'.'Фильтр ввода данных домена и БЕ', 'Импорт Расходы по ЦФО OPEX ручной ввод (субаренда)'.'Фильтр ввода данных домена и БЕ', 'Импорт Расходы по ЦФО OPEX ручной ввод (Проекты)'.'Фильтр ввода данных домена и БЕ', 'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'.'Фильтр ввода данных домена и БЕ'";53533;9.9712982773781E-5;;129000000642;true;;;"TEXTSUM( '1126000015776') = ""ВГО""";"TEXTSUM('ML01.03.24 L Контрагенты 1СУХ'.'Направление') = ""ВГО""";
"Фильтр Требуется указание БЕ и Домена?";"NOT ('Требуется указание БЕ и Домена?' AND IN_DIMENSION('s Требуется указание БЕ и Домена?')) AND 'Требуется указание БЕ и Домена?' OR NOT (IN_DIMENSION('s Требуется указание БЕ и Домена?') AND 'Требуется указание БЕ и Домена?') AND IN_DIMENSION('s Требуется указание БЕ и Домена?')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;9.9712982773781E-5;;129000000643;true;;;"NOT ('129000000642' AND IN_DIMENSION('109000000135')) AND '129000000642' OR NOT (IN_DIMENSION('109000000135') AND '129000000642') AND IN_DIMENSION('109000000135')";"NOT ('Требуется указание БЕ и Домена?' AND IN_DIMENSION('s Требуется указание БЕ и Домена?')) AND 'Требуется указание БЕ и Домена?' OR NOT (IN_DIMENSION('s Требуется указание БЕ и Домена?') AND 'Требуется указание БЕ и Домена?') AND IN_DIMENSION('s Требуется указание БЕ и Домена?')";
1;"NUMBER(NOT 'deletionmark')";"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN"",""hasRounding"":true,""maximumSignificantAllDigits"":-1,""maximumSignificantIntegerDigits"":-1,""maximumSignificantDecimalDigits"":-1,""horizontalAlign"":""RIGHT"",""verticalAlign"":""CENTER"",""inputFormatSettingApplied"":false,""sendFormatSettingApplied"":false,""insignificantIntegerRanks"":-1,""significantDecimalRanks"":0,""savingFormatSettingApplied"":false,""savingFormatSettings"":{""decimalPlaces"":15}}";;;Sum;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;0.00039885193109512;;129000000820;true;;;"NUMBER(NOT  '129000000628' )";"NUMBER(NOT 'deletionmark')";
"Заполнено ИНН и Направление";"BOOLEAN('inn') AND BOOLEAN(SELECT('ML01.03.24 L Контрагенты 1СУХ'.'Направление', 'L Версии':'M01.02.14 Выбор параметров загрузки'.'Выбор версии')) AND NOT 'deletionmark'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";"BOOLEAN('inn') AND BOOLEAN(TEXTSUM('ML01.03.24 L Контрагенты 1СУХ'.'Направление')) AND NOT 'deletionmark'";;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;9.9712982773781E-5;;129000000819;true;;;"BOOLEAN('129000000624') AND BOOLEAN(SELECT('1126000015776',  '101000000053': '425000002131')) AND NOT '129000000628'";"BOOLEAN('inn') AND BOOLEAN(SELECT('ML01.03.24 L Контрагенты 1СУХ'.'Направление', 'L Версии':'M01.02.14 Выбор параметров загрузки'.'Выбор версии')) AND NOT 'deletionmark'";
"Rank ИНН";;"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN"",""hasRounding"":true,""maximumSignificantAllDigits"":-1,""maximumSignificantIntegerDigits"":-1,""maximumSignificantDecimalDigits"":-1,""horizontalAlign"":""RIGHT"",""verticalAlign"":""CENTER"",""inputFormatSettingApplied"":false,""sendFormatSettingApplied"":false,""insignificantIntegerRanks"":-1,""significantDecimalRanks"":0,""savingFormatSettingApplied"":false,""savingFormatSettings"":{""decimalPlaces"":15}}";;;Sum;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Новый Код'";53533;0.00039885193109512;;129000000817;true;;;;;
"Новый Код";"IF 'Rank ИНН' = 1 THEN 'inn' ELSE """"";"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Заполнить код?'";53533;0;;129000000821;true;;;"IF  '129000000817' = 1 THEN  '129000000624' ELSE """"";"IF 'Rank ИНН' = 1 THEN 'inn' ELSE """"";
"Заполнить код?";"CODE('item') <> 'Новый Код'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;9.9712982773781E-5;;129000000818;true;;;"CODE( '129000000638' ) <>  '129000000821'";"CODE('item') <> 'Новый Код'";
"Есть в M IMPORT STAGE";"SUM('M02.03.01 IMPORT STAGE Контрагенты 1С УХ'.'Единица', 'M02.03.01 IMPORT STAGE Контрагенты 1С УХ'.'Dim Контрагент 1С УХ') > 0";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;9.9712982773781E-5;;129000000983;true;;;"SUM('1247000018428', '1247000017812') > 0";"SUM('M02.03.01 IMPORT STAGE Контрагенты 1С УХ'.'Единица', 'M02.03.01 IMPORT STAGE Контрагенты 1С УХ'.'Dim Контрагент 1С УХ') > 0";
"Есть данные";"SUM('M03.01.01 Свод по выручке'.'Единица', 'M03.01.01 Свод по выручке'.'Контрагент 1С:УХ') > 0 OR SUM('M05.02.08 REPORT Детализация PL с версиями'.'Сумма', 'M05.02.08 REPORT Детализация PL с версиями'.'Контрагент 1С УХ') <> 0";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;53533;9.9712982773781E-5;;129000000984;true;;;"SUM('1033000018429',  '1033000013326') > 0 OR  SUM('401000001765', '401000009694') <> 0";"SUM('M03.01.01 Свод по выручке'.'Единица', 'M03.01.01 Свод по выручке'.'Контрагент 1С:УХ') > 0 OR SUM('M05.02.08 REPORT Детализация PL с версиями'.'Сумма', 'M05.02.08 REPORT Детализация PL с версиями'.'Контрагент 1С УХ') <> 0";
"L Показатель";;;"ВВ, ВП, контрактование";;;;;;;15;8.3819031715393E-8;;101000000009;;;;;;
item;"ITEM('L Показатель')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000009,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5;3.7252902984619E-8;;129000000039;true;;;ITEM('101000000009');"ITEM('L Показатель')";
Контрактование?;;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5;9.3132257461548E-9;;129000000397;true;;;;;
"Показатель планирования";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000029,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5;3.7252902984619E-8;;129000000322;true;;;;;
"L Клиент";;;;;;;;;;111940;0.00018765404820442;;101000000011;;;;;;
DEL;"LEFT(TEXT('item'), 1) = ""#""";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;1.0425224900246E-5;;129000000910;true;;;"LEFT( TEXT('129000000569') , 1) = ""#""";"LEFT(TEXT('item'), 1) = ""#""";
item;"ITEM('L Клиент')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000011,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"name, 'item_code', DEL";5597;4.1700899600983E-5;;129000000569;true;;;ITEM('101000000011');"ITEM('L Клиент')";
name;NAME('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'ML01.03.12 Клиенты'.'Собственное ЮЛ?', 'M03.01.01 Свод по выручке'.'Конечный заказчик', 'M03.01.01 Свод по выручке'.Контрагент, 'M03.01.03 Сводный план Технической Дирекции'.Контрагент, 'M03.01.03 Сводный план Технической Дирекции'.'Конечный заказчик'";5597;0;;129000000570;true;;;NAME('129000000569');NAME('item');
item_code;CODE('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'пустой код?'";5597;0;;129000000571;true;;;CODE('129000000569');CODE('item');
"пустой код?";"NOT BOOLEAN('item_code')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;1.0425224900246E-5;;129000000971;true;;;"NOT BOOLEAN(  '129000000571' )";"NOT BOOLEAN('item_code')";
"Юр лицо";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M05.02.08 REPORT Детализация PL с версиями'.'Контрагент ref', 'M05.02.08 REPORT Детализация PL с версиями'.'Контрагент 1С УХ'";5597;0;;129000000001;true;;;;;
"ИНН Фин.клиента";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Импорт Расходы по ЦФО OPEX ручной ввод (Проекты)'.'ИНН Фин.клиента', 'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'.'ИНН Фин.клиента'";5597;0;;129000000792;true;;;;;
TIN;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;0;;129000000794;true;;;;;
"Ключевой клиент?";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;1.0425224900246E-5;;129000000797;true;;;;;
"Item Ключевого клиента";"FINDITEM('L Клиент', 'ID Ключевого клиента')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000011,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Импорт Расходы по ЦФО OPEX ручной ввод (Проекты)'.'Ключевой клиент', 'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'.'Ключевой клиент'";5597;4.1700899600983E-5;;129000000796;true;;;"FINDITEM('101000000011', '129000000964')";"FINDITEM('L Клиент', 'ID Ключевого клиента')";
"ИНН Ключевого клиента";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Импорт Расходы по ЦФО OPEX ручной ввод (Проекты)'.'ИНН Ключевого клиента', 'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'.'ИНН Ключевого клиента'";5597;0;;129000000793;true;;;;;
"ID Ключевого клиента";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Item Ключевого клиента'";5597;0;;129000000964;true;;;;;
LAM;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;0;;129000000915;true;;;;;
"LAM Ключевого клиента";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000116,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'ML01.03.08 Сделки old'.'L LAM', 'M Импорт LAM&KeyClients'.'LAM_group_name'";5597;4.1700899600983E-5;;129000000799;true;;;;;
"пустой код";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;0;;129000000911;true;;;;;
inn;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;0;;129000000935;true;;;;;
kpp;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;0;;129000000936;true;;;;;
partner;;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;1.0425224900246E-5;;129000000938;true;;;;;
"Client flag?";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";"PROPERTY('ML01.03.12 Клиенты'.'Сlient flag?', ITEM('L Клиент'))";;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;1.0425224900246E-5;;129000000973;true;;;;;
"p.Client flag";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";"'Client flag?' AND NOT IN_DIMENSION('s.Сlient flag')";;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;5597;1.0425224900246E-5;;129000000972;true;;;;;
"L Клиент_LAM";;;;;;;;;;82134;0.00016998499631882;;101000000150;;;;;;
item;"ITEM('L Клиент_LAM')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000150,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";'item_code';9126;6.7993998527527E-5;;129000000979;true;;;ITEM('101000000150');"ITEM('L Клиент_LAM')";
item_code;CODE('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Ключевой клиент?', 'ID Ключевого клиента по LAM', 'M05.04.01 REPORT LAM_цель по клиентам'.'ID Клиента', 'M05.04.03 REPORT LAM_ по клиентам для руководителей'.'ID Клиента'";9126;0;;129000000978;true;;;CODE('129000000979');CODE('item');
"ID Ключевого клиента";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'ID Ключевого клиента по LAM'";9126;0;;129000000974;true;;;;;
"ID Ключевого клиента по LAM";"IF 'LAM' <> """" AND 'ID Ключевого клиента' = """" THEN 'item_code' ELSE 'ID Ключевого клиента'";"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Ключевой клиент?', 'Импорт LAM_цель по аккаунту'.'Клиент_LAM_код ключ', 'Импорт LAM_данные CRM по БЕ'.'ID Ключевого клиента', 'Форма LAM_Сделки Custom'.'ID Ключевого клиента'";9126;0;;129000000987;true;;;"if  '129000000975' <> """" and  '129000000974' = """" then  '129000000978' else '129000000974'";"IF 'LAM' <> """" AND 'ID Ключевого клиента' = """" THEN 'item_code' ELSE 'ID Ключевого клиента'";
LAM;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'L LАМ', 'ID Ключевого клиента по LAM'";9126;0;;129000000975;true;;;;;
"L LАМ";"FINDITEM('L LАМ', 'LAM')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000116,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M99.12 FILTER Клиент - LAM'.'Фильтр КлКлиент_LAM', 'M05.04.08 REPORT LAM_Выручка'.'ФИО LAM распознан', 'M05.04.08 REPORT LAM_Выручка'.'ФИО LAM от клиента', 'M05.04.09 REPORT LAM_Себестоимость'.'ФИО LAM распознан', 'M05.04.09 REPORT LAM_Себестоимость'.'ФИО LAM от клиента', 'M05.04.10 REPORT LAM_GM1'.'ФИО LAM распознан', 'M05.04.10 REPORT LAM_GM1'.'ФИО LAM от клиента', 'M05.04.11 REPORT LAM_GM1, %'.'ФИО LAM распознан', 'M05.04.11 REPORT LAM_GM1, %'.'ФИО LAM от клиента', 'Форма LAM_Сделки Custom'.'ФИО LAM от клиента', 'Форма LAM_Сделки Custom'.'ФИО LAM для расчета распознано'";9126;6.7993998527527E-5;;129000000981;true;;;"FINDITEM('101000000116' , '129000000975' )";"FINDITEM('L LАМ', 'LAM')";
"Ключевой клиент?";"'item_code' = 'ID Ключевого клиента по LAM'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'p.Сlient', 'M99.12 FILTER Клиент - LAM'.'Фильтр КлКлиент_LAM'";9126;1.6998499631882E-5;;129000000976;true;;;"'129000000978' =  '129000000987'";"'item_code' = 'ID Ключевого клиента по LAM'";
"Юр лицо";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;9126;0;;129000000977;true;;;;;
p.Сlient;"'Ключевой клиент?' AND NOT IN_DIMENSION('s.Сlient')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;9126;1.6998499631882E-5;;129000000980;true;;;"'129000000976'  AND NOT IN_DIMENSION(  '109000000221'  )";"'Ключевой клиент?' AND NOT IN_DIMENSION('s.Сlient')";
"L КАМ";;;;;;;;;;1902;4.7236680984497E-6;;101000000012;;;;;;
source;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;634;0;;129000000824;true;;;;;
management_cfo_name_stage;"'M02.02.17 IMPORT STAGE КАМ'.'ЦФО подразделения (справочно)'";"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;634;0;;129000000825;true;;;'1111000015673';"'M02.02.17 IMPORT STAGE КАМ'.'ЦФО подразделения (справочно)'";
management_cfo_name;"'M02.02.17 IMPORT STAGE КАМ'.'ЦФО подразделения'";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000061,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M02.02.02 IMPORT CRM все направления, кроме ВГО, ручной слой'.'ЦФО распознано от КАМ', 'M02.02.04 IMPORT CRM ВГО ручной слой'.'ЦФО распознано от КАМ'";634;4.7236680984497E-6;;129000000815;true;;;'1111000017996';"'M02.02.17 IMPORT STAGE КАМ'.'ЦФО подразделения'";
"L LАМ";;;;;;;;;;0;0;;101000000116;;;;;;
"L Вертикаль";;;;;;;;;;14;1.0430812835693E-7;;101000000013;;;;;;
"Map L2 ЦФО HR";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000061,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;14;1.0430812835693E-7;;129000000766;true;;;;;
"L Направления";;;;;;;;;;98;1.564621925354E-7;;101000000084;;;;;;
item;"NAME(ITEM('L Направления'))";"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'L Сделки'.'Name Сделка custom', 'M02.01.02 Импорт факта (ручной)'.'Направление распознано'";14;0;;129000000804;true;;;"name(item( '101000000084' ))";"NAME(ITEM('L Направления'))";
