ListsSubsets;"Full Name";"Cell Count"
"sL Проект 1С УХ_id";"'L Проект 1С УХ'.'sL Проект 1С УХ_id'";22107
"sL Проект 1С УХ Итого по договору";"'L Проект 1С УХ'.'sL Проект 1С УХ Итого по договору'";1
"s ЕКДР 11 и 16 пресеил";"'L ЕКДР'.'s ЕКДР 11 и 16 пресеил'";119
"s L Договоры M10.03/04";"'L Договоры_Биллинг (МК)'.'s L Договоры M10.03/04'";1
"s L Договоры M10.06";"'L Договоры_Биллинг (МК)'.'s L Договоры M10.06'";1
"s L Договоры-проекты M10.03/04";"'L Договоры 1С:УХ (Клауд_С поставщиками)'.'s L Договоры-проекты M10.03/04'";1
"s L Договоры-проекты M10.06";"'L Договоры 1С:УХ (Клауд_С поставщиками)'.'s L Договоры-проекты M10.06'";1
"s NUM импорт CRM NEW";"'NUM'.'s NUM импорт CRM NEW'";231150
"s NUM импорт CRM";"'NUM'.'s NUM импорт CRM'";36566
"s NUM импорт 1C UH";"'NUM'.'s NUM импорт 1C UH'";49747
"s NUM шаблон ДДС";"'NUM'.'s NUM шаблон ДДС'";60
"s NUM План расходов ТД";"'NUM'.'s NUM План расходов ТД'";11000
"s NUM 10";"'NUM'.'s NUM 10'";13
"s NUM ЦК ТД";"'NUM'.'s NUM ЦК ТД'";11
"s NUM Воронка";"'NUM'.'s NUM Воронка'";3571
"s NUM CF Факт";"'NUM'.'s NUM CF Факт'";7016
"s NUM PL Факт";"'NUM'.'s NUM PL Факт'";59429
"s NUM PL Архив";"'NUM'.'s NUM PL Архив'";148065
"s NUM CF Архив";"'NUM'.'s NUM CF Архив'";74108
"s NUM PL расчет";"'NUM'.'s NUM PL расчет'";499600
"s NUM CF расчет";"'NUM'.'s NUM CF расчет'";90637
"s NUM PL data check";"'NUM'.'s NUM PL data check'";500
"s NUM CF data check";"'NUM'.'s NUM CF data check'";500
"s NUM Капитализация";"'NUM'.'s NUM Капитализация'";3751
"s NUM Капитализация МСФО";"'NUM'.'s NUM Капитализация МСФО'";10
"s NUM объекты копирования версий";"'NUM'.'s NUM объекты копирования версий'";10
"s NUM HR PL";"'NUM'.'s NUM HR PL'";62150
